Id,StudentId,Birthday
1,1,2012-09-03
2,2,2011-09-07
3,3,2011-04-08
4,4,2013-07-07
5,5,2012-04-05
6,6,2011-09-27
7,7,2012-08-29
8,8,2012-05-12
9,9,2012-05-01
10,10,2013-04-01
11,11,2011-04-12
12,12,2012-08-23
13,13,2012-02-01
14,14,2011-11-05
15,15,2012-08-26
16,16,2010-12-31
17,17,2011-11-22
18,18,2011-04-08
19,19,2011-05-16
20,20,2012-06-03
21,21,2013-03-30
22,22,2012-07-03
23,23,2012-07-08
24,24,2012-10-29
25,25,2010-10-02
26,26,2011-12-11
27,27,2011-12-24
28,28,2011-06-27
29,29,2013-08-27
30,30,2011-09-17
31,31,2010-08-10
32,32,2009-11-13
33,33,2010-03-10
34,34,2010-03-19
35,35,2009-10-15
36,36,2010-03-29
37,37,2009-11-29
38,38,2010-01-06
39,39,2009-09-18
40,40,2010-08-05
41,41,2009-09-08
42,42,2012-08-21
43,43,2012-04-24
44,44,2012-09-14
45,45,2012-10-01
46,46,2013-02-01
47,47,2013-01-01
48,48,2014-07-21
49,49,2013-10-18
50,50,2013-11-05
51,51,2013-03-09
52,52,2012-07-12
53,53,2010-10-10
54,54,2010-12-28
55,55,2011-01-09
56,56,2010-09-05
57,57,2011-01-12
58,58,2012-12-19
59,59,2013-07-17
60,60,2012-06-01
61,61,2010-05-05
62,62,2011-03-30
63,63,2011-04-10
64,64,2010-02-06
65,65,2010-03-13
66,66,2010-03-10
67,67,2009-12-08
68,68,2009-08-27
69,69,2010-01-31
70,70,2010-08-30
71,71,2010-07-27
72,72,2009-10-08
73,73,2010-05-20
74,74,2012-11-09
75,75,2013-03-09
76,76,2012-11-14
77,77,2012-12-19
78,78,NULL
79,79,NULL
80,80,NULL
81,81,NULL
82,82,NULL
83,83,1905-07-03
84,84,NULL
85,85,NULL
86,86,NULL
87,87,NULL
88,88,NULL
89,89,1905-07-05
90,90,1905-07-05
91,91,1905-07-04
